Name/Entity,Entity Type,Mention Count,Number of Files
Mr. Juvia Staple,PERSON,2,1
Megha,PERSON,2,2
Karl Popper,PERSON,2,1
Toynoise,LOCATION,2,1
the Clerk,PERSON,2,2
Zivya,PERSON,2,1
SFCC,ORGANIZATION,2,1
Achi Gumebe,PERSON,2,1
Techa,PERSON,2,1
Mr. Diklak,PERSON,2,1
Minister of Health,ORGANIZATION,2,1
Mr. Velifani Kear,PERSON,2,1
Cape Town City,LOCATION,2,1
Minister Roopas,PERSON,2,1
Rappaport University,ORGANIZATION,2,1
Ku Klux Klan,ORGANIZATION,2,2
South African context,LOCATION,2,2
Hollandia,LOCATION,2,1
Surya Troma,PERSON,2,1
Article 14,EVENT,2,1
Kaplanet,LOCATION,2,1
Dr. Treornief,PERSON,2,1
Perhaut,LOCATION,2,1
February 12th,DATE_TIME,2,1
West Cape,LOCATION,2,1
Bolag,LOCATION,2,1
RVBF,ORGANIZATION,2,2
Bredaersdorp,LOCATION,2,1
Agricultural Hall,LOCATION,2,1
Harams Commission,EVENT,2,2
Ngeni trialists,EVENT,2,2
Yengeni trialists,PERSON,2,2
Mr. Slobo,PERSON,2,2
economic sanctions,EVENT,2,2
Kazangulu,LOCATION,2,1
Indian Ocean,LOCATION,2,2
Hamraic Shaman,PERSON,2,1
12 years,DATE_TIME,2,2
April 11th,DATE_TIME,2,2
crossroads area,LOCATION,2,1
European community,ORGANIZATION,2,1
prime minister,PERSON,2,1
April 11,DATE_TIME,2,1
Mr. Hurd,PERSON,2,1
Mr. Heard,PERSON,2,2
Comrade Harry,PERSON,2,2
Marxist workers' tendency,ORGANIZATION,2,1
Frutoskia,EVENT,2,1
Working Group,ORGANIZATION,2,1
Montague,PERSON,2,2
Roderick Reagan,PERSON,2,1
Mr. Black,PERSON,2,1
Sven Wilson,PERSON,2,1
Telezi,LOCATION,2,2
Security Act,ORGANIZATION,2,1
Women's Charter,EVENT,2,1
Makosa Zanakaba,PERSON,2,1
Mites Perepere,PERSON,2,1
Bala Kakosizile,PERSON,2,1
Mavivi,PERSON,2,1
NWEC,ORGANIZATION,2,1
ANC Women's Section,ORGANIZATION,2,1
summit of black political leaders,EVENT,2,1
Lybon Mwasa,PERSON,2,1
Azapul,ORGANIZATION,2,1
Black Conscious Movement,ORGANIZATION,2,2
Azanian Liberation Army,ORGANIZATION,2,1
Azan,ORGANIZATION,2,1
Mr. Mangala,PERSON,2,2
11th of this month,DATE_TIME,2,1
Hermannus,LOCATION,2,1
German constitution,ORGANIZATION,2,1
10th of May 1994,DATE_TIME,2,2
Organization for African Unity,ORGANIZATION,2,2
Southern African region,LOCATION,2,1
23rd of May 1994,DATE_TIME,2,1
Westminster Abbey,LOCATION,2,2
Mandisa,PERSON,2,1
AGM,EVENT,2,2
Clyde,PERSON,2,2
provinces,LOCATION,2,2
September 1994,DATE_TIME,2,1
Springbok rugby team,ORGANIZATION,2,2
Dr. Bertolese,PERSON,2,2
South Paris,LOCATION,2,1
Peace Accord,EVENT,2,1
South African police force,ORGANIZATION,2,2
reconstruction and development plan,EVENT,2,1
Mr. Mayor,PERSON,2,2
Peter Bukhara,PERSON,2,1
Kolkata,LOCATION,2,1
Bihar,LOCATION,2,1
Ray White,PERSON,2,1
Westfield,LOCATION,2,2
Fallsburg,LOCATION,2,2
first trial,EVENT,2,2
Campbell & Company,ORGANIZATION,2,1
70s and 80s,DATE_TIME,2,2
Petrograd,LOCATION,2,1
Palace of Justice,LOCATION,2,1
sixty-three,DATE_TIME,2,2
Mr. Magdala,PERSON,2,1
Frank Ek,PERSON,2,1
Gujarat,LOCATION,2,2
Bishop Hurley,PERSON,2,1
Hornsburg,LOCATION,2,2
Malcolm,PERSON,2,2
TikTok,LOCATION,2,1
Chihuahua,LOCATION,2,1
Plum Village,LOCATION,2,1
Union building,LOCATION,2,2
Anna,PERSON,2,2
Carter Oswald,PERSON,2,2
Dachau expedition,EVENT,2,1
Ouagadougou,LOCATION,2,1
National Folk Group,ORGANIZATION,2,1
President Sankara,PERSON,2,1
Sophie,PERSON,2,2
Lord Chancellor,PERSON,2,1
Open University,ORGANIZATION,2,1
British High Commissioner,PERSON,2,1
wedding,EVENT,2,2
High Commission,LOCATION,2,2
Chosins of Bunkham,ORGANIZATION,2,1
World AIDS Conference,EVENT,2,2
Naomi Campbell,PERSON,2,2
Alexander McQueen,PERSON,2,1
Wyclef Jean,PERSON,2,2
Jeffy Hounds,PERSON,2,1
Rick Santorum,PERSON,2,1
Zaki Ahmed,PERSON,2,2
Greenpeace,ORGANIZATION,2,1
GFC,ORGANIZATION,2,1
Mr. Manjaro,PERSON,2,2
the election,EVENT,2,2
Jim Chaffey,PERSON,2,1
Professor Mali,PERSON,2,1
Polish academic,PERSON,2,1
Joe Jockey,PERSON,2,2
Yuta,PERSON,2,1
Bishop Trevor,PERSON,2,1
Grant,PERSON,2,1
Melvin,PERSON,2,1
Dicky,PERSON,2,2
Finchley,LOCATION,2,2
Ivan Flavislavich,PERSON,2,1
Madi,PERSON,2,2
Vinny,PERSON,2,1
14 years,DATE_TIME,2,2
Shehnaz,PERSON,2,1
Gwala,PERSON,2,2
El Salvador,LOCATION,2,2
treason trials,EVENT,2,2
Mughala,PERSON,2,1
Oliver Poundall,PERSON,2,1
South African Students' Organisation,ORGANIZATION,2,1
Clarence Smith,PERSON,2,1
Commonwealth Conference,EVENT,2,2
Betty Lou,PERSON,2,1
Dickie Mountbatten,PERSON,2,1
Chief Justice of South Africa,PERSON,2,2
Arthur Chaskelson,PERSON,2,1
Bob Hepburn,PERSON,2,1
Jeff Berman,PERSON,2,1
Arkansas,LOCATION,2,2
millennium,DATE_TIME,2,2
Spice Girl,PERSON,2,2
Mandela Children's Fund,ORGANIZATION,2,2
CARD,ORGANIZATION,2,1
Demosthenes,PERSON,2,1
Springboks,ORGANIZATION,2,2
Sergeant Amy Roberts,PERSON,2,1
Ingvar,PERSON,2,1
Annalise,PERSON,2,1
ANC rally,EVENT,2,2
Russian general,PERSON,2,1
Lancashire,LOCATION,2,1
Reeds,PERSON,2,1
Elijah Makiwane,PERSON,2,1
Rob Nile,PERSON,2,1
South African High Commission,ORGANIZATION,2,2
Bill Gates,PERSON,2,2
Mech Maharaj,PERSON,2,2
Cochin,LOCATION,2,1
South India,LOCATION,2,1
Nairs,PERSON,2,1
Salem,ORGANIZATION,2,2
Melrose,LOCATION,2,1
Golden Age Act,EVENT,2,1
Lakhani Chambers,LOCATION,2,1
Queen Street,LOCATION,2,1
Criminal Law Amendment Act,EVENT,2,2
Smith Street,LOCATION,2,2
Durban Central Prison,LOCATION,2,1
defence campaign,EVENT,2,1
ZK Matthews,PERSON,2,1
Mason,PERSON,2,1
Barranger,PERSON,2,1
Langeberg Corporation,ORGANIZATION,2,1
Bruno Mottolo,PERSON,2,1
Masombo,PERSON,2,1
Joe Joffrey,PERSON,2,1
Dr. Robert Miller,PERSON,2,1
Roly Arenstein,PERSON,2,2
Chief Khatun,PERSON,2,1
Mr. Kaur,PERSON,2,1
Madrigal,PERSON,2,1
U-Town,LOCATION,2,1
Indian views,ORGANIZATION,2,1
defiance of unjust laws campaign,EVENT,2,2
Kennedy Road,LOCATION,2,2
Herbert Thelma,PERSON,2,2
Nat Nakasa,PERSON,2,2
Amgeni Road,LOCATION,2,2
Roshia,PERSON,2,2
Herbert Villacati,PERSON,2,1
Sullivan Principles,EVENT,2,1
rugby,EVENT,2,2
Jo,PERSON,2,2
inauguration speech,EVENT,2,2
Children's Hospital,LOCATION,2,2
Botelesi,PERSON,2,1
Perlsmoor,LOCATION,2,1
Paul Smaller,PERSON,2,1
Giorgio,PERSON,2,1
Homage to Catalonia,EVENT,2,1
Irene Menon,PERSON,2,1
National Gallery,LOCATION,2,1
Sunday Express,ORGANIZATION,2,1
P. W. Boettcher,PERSON,2,1
Southwark,LOCATION,2,1
Jules Brodie,PERSON,2,1
Tony Rowland,PERSON,2,1
Beverley Hills,LOCATION,2,1
Robert McGarvey,PERSON,2,1
British embassy,ORGANIZATION,2,1
children's fund,ORGANIZATION,2,2
Walter Sassuolo,PERSON,2,2
Chief Justice,PERSON,2,2
Nabila,PERSON,2,1
Vali Chiba,PERSON,2,1
Sue Rapkin,PERSON,2,2
Center for Memory,ORGANIZATION,2,2
Father Hughes,PERSON,2,2
British generals,PERSON,2,1
white minority,PERSON,2,2
"November, December 1961",DATE_TIME,2,2
27th of April 1964,DATE_TIME,2,2
transition to democracy,EVENT,2,2
Dr. Alexander,PERSON,2,1
Frank Chicane,PERSON,2,2
Dr. Caselta,PERSON,2,2
Machikis,PERSON,2,2
University of the Northwest,ORGANIZATION,2,2
Tyrone Bakefield,PERSON,2,2
American group,ORGANIZATION,2,2
Mariki,PERSON,2,1
Yeltsin,PERSON,2,1
Apartheid Museum,ORGANIZATION,2,2
ANC National Working Committee,ORGANIZATION,2,1
Wilton,PERSON,2,1
Minnie,PERSON,2,2
Bogart,PERSON,2,1
General Steyn,PERSON,2,2
Governor Mackey,PERSON,2,1
Joslovo,PERSON,2,2
Judge Pete Skavut,PERSON,2,1
Ruf Meir,PERSON,2,1
Portsmouth Prison,LOCATION,2,2
Rivonia Trialists,PERSON,2,2
Arusha Agreement,EVENT,2,1
Mendi Omsimang,PERSON,2,1
Hamlet,EVENT,2,2
Colonel Ocamp,PERSON,2,1
90-day detention,EVENT,2,1
African Students Association,ORGANIZATION,2,1
All In African Conference,EVENT,2,1
national reconciliation,EVENT,2,2
democratic transition,EVENT,2,1
Frank Chikani,PERSON,2,1
Richard Goldstone,PERSON,2,2
National Press Institute,ORGANIZATION,2,1
Thutip,PERSON,2,1
Time Magazine,ORGANIZATION,2,2
Mac Maharaj,PERSON,2,2
Angus Gibson,PERSON,2,2
Winston Churchill,PERSON,2,2
Marara Malema,PERSON,2,1
Du Manoko,PERSON,2,1
Temples,LOCATION,2,1
Dan Twyler,PERSON,2,1
Murali Zele,PERSON,2,1
Govind Begum,PERSON,2,1
India Party,ORGANIZATION,2,1
Campton Park,LOCATION,2,2
Prince Butelezi,PERSON,2,2
Don Park,LOCATION,2,2
2nd of July 1993,DATE_TIME,2,2
ANC march,EVENT,2,2
Jemezin Hospital,LOCATION,2,1
Singa,LOCATION,2,2
Gamma Section,LOCATION,2,1
Polly,PERSON,2,1
August the 1st,DATE_TIME,2,2
Flak class,ORGANIZATION,2,2
Notu,LOCATION,2,1
Zulu kingdom,LOCATION,2,1
Togoza massacre,EVENT,2,1
St. John's Church,ORGANIZATION,2,2
Terre Blanche,PERSON,2,2
Mr Lutuli,PERSON,2,1
Military Intelligence,ORGANIZATION,2,2
Christchurch massacre,EVENT,2,1
Biline,PERSON,2,1
TBDF,ORGANIZATION,2,1
32th Battalion,ORGANIZATION,2,1
Tula Vopala,PERSON,2,1
Bouteilles,PERSON,2,2
Kuna,PERSON,2,2
Ferdie Barnard,PERSON,2,1
Howick,LOCATION,2,1
CUNA,ORGANIZATION,2,2
Chappies Klopper,PERSON,2,2
Willy Nokia,PERSON,2,1
Dalupolo Lutuli,PERSON,2,1
Boipatung,LOCATION,2,1
assassination of Chris Harney,EVENT,2,2
Flokplaats,LOCATION,2,1
Tempocosa,PERSON,2,2
"28th of March, 1994",DATE_TIME,2,2
Bortolese,PERSON,2,2
Bambi,PERSON,2,2
Balimala,LOCATION,2,1
EIFP,ORGANIZATION,2,2
Peter Mkonto,PERSON,2,2
8th of October 1993,DATE_TIME,2,2
Motapi,PERSON,2,2
Joel Nguja,PERSON,2,1
M17,LOCATION,2,2
"25th of April, 1994",DATE_TIME,2,2
Tejima Tala,PERSON,2,1
Mark 18,PERSON,2,1
Solomon,PERSON,2,2
1st of August,DATE_TIME,2,2
Kambalo Street,LOCATION,2,1
Ms. Ndlobu,PERSON,2,1
Kala Nyonya Hostel,LOCATION,2,1
ISPU,ORGANIZATION,2,2
Mr. Lushozi,PERSON,2,1
Heart of the Section,LOCATION,2,1
Mr. Majosi,PERSON,2,1
black on black violence,EVENT,2,2
Katuras,LOCATION,2,2
Tutuzi,LOCATION,2,2
Njani,LOCATION,2,1
Oklahoma,LOCATION,2,2
Bapuditswana,LOCATION,2,2
Mercedes Benz,ORGANIZATION,2,2
Mercedes-Benz,ORGANIZATION,2,2
Sergeant Mignazzo,PERSON,2,2
Mafikeng,LOCATION,2,2
NWB,ORGANIZATION,2,1
South African Student Congress,ORGANIZATION,2,1
Megacity,LOCATION,2,2
Constantinople Union,ORGANIZATION,2,2
Falks Front,ORGANIZATION,2,2
10th of March 1994,DATE_TIME,2,2
Tapelo,PERSON,2,2
Mega City,LOCATION,2,2
Tapela,PERSON,2,2
Mr. Menyatso,PERSON,2,1
Tsepelo,PERSON,2,1
Maniatsue,PERSON,2,1
late 93,DATE_TIME,2,2
Fort Lawrence,LOCATION,2,1
San Francisco Communist Party,ORGANIZATION,2,1
Benoni Mechanical School,ORGANIZATION,2,1
25th of April,DATE_TIME,2,2
Cox trial,EVENT,2,1
Iron Maiden,ORGANIZATION,2,1
Metallica,ORGANIZATION,2,1
East Side,LOCATION,2,2
Kwesi,PERSON,2,2
Spear of the Nation,ORGANIZATION,2,1
"April, 93",DATE_TIME,2,2
Kulamani group,ORGANIZATION,2,1
transitional government of reconciliation,ORGANIZATION,2,2
Principal Tullese,PERSON,2,1
Mbizu,EVENT,2,2
Imbiza,EVENT,2,1
Dr. Budulesi,PERSON,2,1
18th of March,DATE_TIME,2,1
Zulu MP,PERSON,2,1
"12th of February, 1994",DATE_TIME,2,2
Mack Maraj,PERSON,2,1
Zibu Semelaba,PERSON,2,1
Philippe Pell,PERSON,2,1
Mayechle Massacre,EVENT,2,2
Ngutu,LOCATION,2,2
Mtagane,LOCATION,2,2
Muchacho,PERSON,2,2
Kumala Street,LOCATION,2,2
Machacho,PERSON,2,2
Mtagane Street,LOCATION,2,2
R4,ORGANIZATION,2,2
31st,DATE_TIME,2,2
Mchacho,PERSON,2,2
Dombela,PERSON,2,2
Natal Witness,ORGANIZATION,2,1
AIFP,ORGANIZATION,2,2
Domsani Kuzwa,PERSON,2,1
Daluk Polo,PERSON,2,2
Wasulu government,ORGANIZATION,2,2
Camden Park talks,EVENT,2,1
"April, 1994",DATE_TIME,2,2
Reggie Hatebe,PERSON,2,2
Mr. Malaba,PERSON,2,2
Lion of the North,PERSON,2,1
Herikwala,PERSON,2,1
Mahele,LOCATION,2,2
Mrs. Tolu,PERSON,2,2
Petermansburg,LOCATION,2,2
Dalu Kolo Luchuli,PERSON,2,1
Askari,ORGANIZATION,2,2
Bopela,PERSON,2,1
Hummersdale,LOCATION,2,1
Lovu,LOCATION,2,1
Domsani Kuzwayo,PERSON,2,1
Machete,LOCATION,2,1
Nicoppo,LOCATION,2,1
Mdou Mia,PERSON,2,2
Richard O'Kill,PERSON,2,2
More Than Wonderful,EVENT,2,2
Mr. White,PERSON,2,2
Mrs. White,PERSON,2,2
St. James Church,LOCATION,2,2
25th of July,DATE_TIME,2,2
Dimitri Makagon,PERSON,2,2
Russian seamen,PERSON,2,1
Marita,PERSON,2,2
Denise Gordon,PERSON,2,2
Charles van Beek,PERSON,2,1
Shaville Lange massacres,EVENT,2,1
military commission,ORGANIZATION,2,1
Heidelberg Tavern,LOCATION,2,2
St. James attack,EVENT,2,2
Shelf,PERSON,2,2
Vick,PERSON,2,2
Abla,ORGANIZATION,2,2
General Bandubonge Olomisa,PERSON,2,1
AAPL,ORGANIZATION,2,1
Kaiser Chiefs,ORGANIZATION,2,1
head of state,PERSON,2,2
FNP Stadium,LOCATION,2,1
Albaton,LOCATION,2,1
22nd of May,DATE_TIME,2,1
Porto Parco,LOCATION,2,1
Olfenaheng Road,LOCATION,2,1
David Nyati,PERSON,2,1
Internal Security Unit,ORGANIZATION,2,1
Heri Kwala,PERSON,2,1
Esfison Kabinde,PERSON,2,1
New Year's,DATE_TIME,2,1
26th,DATE_TIME,2,2
RPG-7,ORGANIZATION,2,1
Revelation Church of God,ORGANIZATION,2,1
Zakele Nkeishi,PERSON,2,1
Francis Bamba,PERSON,2,1
Bungko Songwane,PERSON,2,1
Zach the beer,PERSON,2,1
Operation Access,EVENT,2,1
East Round,LOCATION,2,2
Leclerc,PERSON,2,1
Lundi,LOCATION,2,2
Northwest Province,LOCATION,2,2
Aviaberg bombing campaign,EVENT,2,1
Cray Street,LOCATION,2,1
Tablanch,PERSON,2,2
Tini Kroonewald,PERSON,2,1
Flakplast,LOCATION,2,1
Katla,LOCATION,2,1
Jacques Bukna,PERSON,2,1
Golsan,PERSON,2,1
General Merring,PERSON,2,1
Buputetswana,LOCATION,2,2
Paderkop,LOCATION,2,2
Stendalton,LOCATION,2,2
Standerton,LOCATION,2,2
Louis Botha Society,ORGANIZATION,2,2
Stanleton District,LOCATION,2,2
South African medical services,ORGANIZATION,2,1
General Fulian,PERSON,2,2
Rian van Rensburg,PERSON,2,2
Buramah,ORGANIZATION,2,2
Anglo-Boer war,EVENT,2,2
Judas,PERSON,2,2
Boeremacht,ORGANIZATION,2,2
Radio Pretoria,ORGANIZATION,2,2
Army Military Gymnasium,ORGANIZATION,2,2
BSc military degree,EVENT,2,2
Abraham van Leeuwen,PERSON,2,2
Stannerton Commando,ORGANIZATION,2,2
Cape Colony,LOCATION,2,2
First Boer War,EVENT,2,2
General Falun,PERSON,2,2
Africano Folks Front,ORGANIZATION,2,2
1996 Constitution,EVENT,2,2
Boerecrisis Actie,ORGANIZATION,2,2
Timmy Grunewald,PERSON,2,2
Volksstaat,LOCATION,2,2
Mr. Mungopi,PERSON,2,2
ninth province,EVENT,2,2
Bapwudzit Swara,PERSON,2,2
Bureklicis Aktie,ORGANIZATION,2,2
The Freedom Alliance,ORGANIZATION,2,2
Boppe Datswana,LOCATION,2,2
Babatu,LOCATION,2,2
Mabato Defense Force,ORGANIZATION,2,2
George Madin,PERSON,2,2
Bombay Daswana,LOCATION,2,1
MacMurray,PERSON,2,2
George Merrion,PERSON,2,2
George Meiring,PERSON,2,2
Bakudetswana,LOCATION,2,2
Mpaputetswana,LOCATION,2,2
Jan Brekenbach,PERSON,2,2
Ngopi,PERSON,2,2
Arsenberg,PERSON,2,2
Mabatu operation,EVENT,2,2
Ter Blanche,PERSON,2,2
Voortekkerhoogte,LOCATION,2,2
Mike Geldermeis,PERSON,2,2
Afrikaner accord,EVENT,2,2
Afrikaner self-determination,EVENT,2,2
Defense Command Council,ORGANIZATION,2,2
National Party of South Africa,ORGANIZATION,2,2
recession,EVENT,2,2
mine unrest,EVENT,2,2
Urester,LOCATION,2,2
Swiss,LOCATION,2,2
South African Medical Services,ORGANIZATION,2,1
union buildings,LOCATION,2,2
Huguenots,PERSON,2,2
Voortrekkers,PERSON,2,2
Dingan,PERSON,2,2
impis,PERSON,2,2
Blood River Battle,EVENT,2,2
1881 Anglo-Boer War,EVENT,2,2
Afrikaner Volksbond,ORGANIZATION,2,1
Mongobi,PERSON,2,2
Dr. Verwoerd,PERSON,2,2
Voortekerhoogte Hall,LOCATION,2,2
Voortegenwerfter Hall,LOCATION,2,2
local governments,ORGANIZATION,2,2
Schilpoth Hall,LOCATION,2,2
Flat Plows,LOCATION,2,2
27 April election,DATE_TIME,2,2
General Groeneveld,PERSON,2,2
Koster,LOCATION,2,2
Old Transvaal,LOCATION,2,2
Port Shepston High,ORGANIZATION,2,2
Jan van Riebeeck,PERSON,2,2
Calvinist Protestants,PERSON,2,2
Battle of Mayuba,EVENT,2,2
Cape Liberal,PERSON,2,2
British troops,ORGANIZATION,2,2
APSA,ORGANIZATION,2,2
Volkskas,ORGANIZATION,2,2
Redenstaat Bond,ORGANIZATION,2,2
Butulezi,PERSON,2,2
RENAMU,ORGANIZATION,2,2
Ndalozi,PERSON,2,2
Ngumadi,PERSON,2,2
François Slobod,PERSON,2,2
General Constant,PERSON,2,2
General Milan,PERSON,2,2
Scottish independence,EVENT,2,2
Langendorff,PERSON,2,2
Archie Visser,PERSON,2,2
Deloray,EVENT,2,2
Prince Budelezi,PERSON,2,2
Rooifolk,ORGANIZATION,2,2
G6,ORGANIZATION,2,2
American involvement,EVENT,2,2
Soviet involvement,EVENT,2,2
nuclear deterrent,EVENT,2,2
Operation Kasinga,EVENT,2,2
P. W. Boeto,PERSON,2,2
Nelmar Rae,PERSON,2,2
FESTER,ORGANIZATION,2,2
Citizens Bureau,ORGANIZATION,2,2
Accord of April,EVENT,2,2
Langenwilfen,PERSON,2,2
Krier,PERSON,2,2
Free State Republic,LOCATION,2,2
Volkswagen plan,EVENT,2,2
Eckhart,PERSON,2,2
Chief Director of Military Intelligence,PERSON,2,2
Branch of National Intelligence Interpretation,ORGANIZATION,2,2
Security Police,ORGANIZATION,2,2
W. W. De Klerk,PERSON,2,2
Hendrik van der Baars,PERSON,2,2
J. Edgar Hoover,PERSON,2,2
RAF,ORGANIZATION,2,2
Presidium,ORGANIZATION,2,2
75 to 1990,DATE_TIME,2,2
Western assistance,ORGANIZATION,2,2
Cyril Roboporto,PERSON,2,2
intelligence community,ORGANIZATION,2,2
July of 1993,DATE_TIME,2,2
Kufut,ORGANIZATION,2,2
Boerevrijsbeweging,ORGANIZATION,2,2
Committee of Four,ORGANIZATION,2,2
Professor Wally Grant,PERSON,2,2
Professor Adriaan Pont,PERSON,2,2
Afrikaaner Protestantenkerk,ORGANIZATION,2,2
Professor Da Assenburg,PERSON,2,2
Bukbuta,PERSON,2,2
Volk Front,ORGANIZATION,2,2
Andries Steen,PERSON,2,2
Forks Front,ORGANIZATION,2,2
Bogoso,PERSON,2,2
Union of the Republic of South Africa,ORGANIZATION,2,2
Bedwatersrand,LOCATION,2,2
Cossack,ORGANIZATION,2,2
Constant's twin brother,PERSON,2,2
November of 1993,DATE_TIME,2,2
26 April,DATE_TIME,2,2
Bura Crisis Akshi,ORGANIZATION,2,2
Moise Chombe,PERSON,2,2
Red Portrait,EVENT,2,2
Wuhambu,LOCATION,2,2
Bent van der Waal hall,LOCATION,2,2
Volkskrant,ORGANIZATION,2,2
Mubatu incident,EVENT,2,2
EFCOM,ORGANIZATION,2,2
Mobatu,LOCATION,2,2
Jaap de Klerk,PERSON,2,2
HNP,ORGANIZATION,2,2
APMRE,ORGANIZATION,2,2
Cossack group,ORGANIZATION,2,2
Bantu Holomisa,PERSON,2,2
Buputuzwana,LOCATION,2,2
General Meron,PERSON,2,2
Carlton Hotel,LOCATION,2,2
February of 1994,DATE_TIME,2,2
Freed Front,ORGANIZATION,2,2
Konstantin,PERSON,2,2
Constant van Junt,PERSON,2,2
Ferdi Hartenberg,PERSON,2,2
HMP,ORGANIZATION,2,2
Clerc,PERSON,2,2
Dalport,PERSON,2,2
Irish problem,EVENT,2,2
Spanish problem,EVENT,2,2
Basques,PERSON,2,2
Sonny's Wharf,LOCATION,2,2
Joe Modisse,PERSON,2,2
Shalhouse,LOCATION,2,2
Shalias,LOCATION,2,2
Julius Malema,PERSON,2,2
Maggie Thatcher,PERSON,2,2
Caucasus,LOCATION,2,2
Jakob Zuma,PERSON,2,2
B. W.,PERSON,2,1
P. W. Buerta,PERSON,2,1
Chris Hany,PERSON,2,2
Afrikaner Volksbrond,ORGANIZATION,2,2
Hone's death,EVENT,2,2
Advocate Christy Yager,PERSON,2,2
Afrikaner Unity Movement,ORGANIZATION,2,2
Afrikaner Falk Front,ORGANIZATION,2,2
Silverton,LOCATION,2,2
Committee of Generals,ORGANIZATION,2,2
General Bishop,PERSON,2,2
Boputhatswana,LOCATION,2,2
Korneef,PERSON,2,2
Dutch ambassador,PERSON,2,2
Knight of the Generals,EVENT,2,2
Free State Afrikaans Union,ORGANIZATION,2,2
Middle East situation,EVENT,2,2
Negotiating Committee,ORGANIZATION,2,2
Afrikaner Fortress,ORGANIZATION,2,2
Night of the Generals,EVENT,2,2
Constant Vrillion,PERSON,2,2
Tini,PERSON,2,2
fur trackers,PERSON,2,2
Paracra,LOCATION,2,2
Battle of Majuba,EVENT,2,2
South Atlantic,LOCATION,2,2
general elections,EVENT,2,2
Constance's army,ORGANIZATION,2,2
Constantinopoulos,PERSON,2,2
English-speaking units,ORGANIZATION,2,2
National Key Points Register,ORGANIZATION,2,2
BSB,ORGANIZATION,2,2
Budulisi,PERSON,2,2
a month before the election,DATE_TIME,2,2
Unity Building,LOCATION,2,2
international mediation,EVENT,2,2
Volkstaatrat,ORGANIZATION,2,2
Volksfront Army,ORGANIZATION,2,2
General Lewitsch,PERSON,2,2
General Engelbernacht,PERSON,2,2
Rikis,ORGANIZATION,2,2
Reckies,ORGANIZATION,2,2
General Lewitz,PERSON,2,2
General Engelbrecht,PERSON,2,2
signing conference,EVENT,2,2
memorandum of understanding,EVENT,2,1
RAND water board,ORGANIZATION,2,2
Infoplan,ORGANIZATION,2,2
Rolf Meijer,PERSON,2,2
Volksstadt,ORGANIZATION,2,1
Tabu Mbeki,PERSON,2,2
Manguela railway line,LOCATION,2,2
Mussolini's,LOCATION,2,2
Mossomedes,LOCATION,2,2
Constantin Trillian,PERSON,2,2
Bureau for Information,ORGANIZATION,2,2
9th of October,DATE_TIME,2,2
Poortje Struum,LOCATION,2,2
Falgates,PERSON,2,2
Ambrosini,PERSON,2,2
Afrikaner Force Front,ORGANIZATION,2,2
TNFIA,ORGANIZATION,2,2
General Stan Skitter,PERSON,2,2
Afrikaner forefront,ORGANIZATION,2,2
Baputuswana intervention,EVENT,2,2
Herstigte Nationale Partij,ORGANIZATION,2,2
Jaap Marij,PERSON,2,2
Vermaaklijkheidsgroep,ORGANIZATION,2,2
Wally Grant,PERSON,2,2
Christy Yacher,PERSON,2,2
Johnny Allen,PERSON,2,2
General Fullion,PERSON,2,2
intelligence services,ORGANIZATION,2,2
Pete Cuckoomore,PERSON,2,2
General Faryun,PERSON,2,2
Rowan Cronier,PERSON,2,2
Rohan Cronjeer,PERSON,2,2
General Fulhoun,PERSON,2,2
General Maiden,PERSON,2,2
Mongope,PERSON,2,2
Frodeoen,PERSON,2,2
Buputtswana,LOCATION,2,1
Filioen,PERSON,2,2
Konstantin Trullin,PERSON,2,2
Constance Fillion,PERSON,2,2
General Constant Verlien,PERSON,2,2
Volkstadt,ORGANIZATION,2,1
Biputuswana,LOCATION,2,1
General Fullun,PERSON,2,1
Karel Borsov,PERSON,2,2
Volksraad,ORGANIZATION,2,2
Bura Afrikaner,PERSON,2,2
Cape Dutch,PERSON,2,2
Vreenige,EVENT,2,1
Henny,PERSON,2,2
Stofberg,LOCATION,2,2
Loskop,LOCATION,2,2
Marblehall,LOCATION,2,2
Roblestown,LOCATION,2,2
Cecil,ORGANIZATION,2,2
year 2000,DATE_TIME,2,2
Berkelezi,PERSON,2,2
Ben Ngubane,PERSON,2,2
Bapu Datswana,ORGANIZATION,2,1
Saskai,ORGANIZATION,2,2
Volkstaterrat,ORGANIZATION,2,2
Kwamakuta incident,EVENT,2,2
Kwamakuta trial,EVENT,2,2
Special Tasks Section,ORGANIZATION,2,2
Dhopis,LOCATION,2,2
Pugliese,PERSON,2,2
Palmakuta case,EVENT,2,2
KwaMakuta trial,EVENT,2,2
Hibidin,LOCATION,2,2
Antalukolo Lutuli,PERSON,2,2
crater massacre,EVENT,2,2
Kiprivi,LOCATION,2,2
Kwamakuta operation,EVENT,2,2
Concern South African Group Alliance,ORGANIZATION,2,2
General Verlunen,PERSON,2,2
Baputuswana,LOCATION,2,2
Boutilési,PERSON,2,2
Inkarte,ORGANIZATION,2,1
Puditswana,LOCATION,2,2
President Mugope,PERSON,2,2
General Fullil,PERSON,2,2
Viet Cong,ORGANIZATION,2,2
Vietnamese government,ORGANIZATION,2,2
North Vietnamese government,ORGANIZATION,2,2
June of 1993,DATE_TIME,2,2
Shaleos,PERSON,2,2
Joe Slowe,PERSON,2,2
Hudson Barrett,PERSON,2,2
General Konstantin Velyutin,PERSON,2,2
